Time,Symbol,Funding Interval,Funding Rate
2023-11-10 03:00:00,ETHUSD ETH-Margin,every 8 hours,0.0344%
2023-11-09 19:00:00,ETHUSD ETH-Margin,every 8 hours,0.0134%
2023-11-09 11:00:00,ETHUSD ETH-Margin,every 8 hours,0.0115%
2023-11-09 03:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-11-08 19:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-11-08 11:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-11-08 03:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-11-07 19:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-11-07 11:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-11-07 03:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-11-06 19:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-11-06 11:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-11-06 03:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-11-05 19:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-11-05 11:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-11-05 03:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-11-04 20:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-11-04 12:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-11-04 04:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-11-03 20:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-11-03 12:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-11-03 04:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-11-02 20:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-11-02 12:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-11-02 04:00:00,ETHUSD ETH-Margin,every 8 hours,0.0114%
2023-11-01 20:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-11-01 12:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-11-01 04:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-10-31 20:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-10-31 12:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-10-31 04:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-10-30 20:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-10-30 12:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-10-30 04:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-10-29 20:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-10-29 12:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-10-29 04:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-10-28 20:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-10-28 12:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-10-28 04:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-10-27 20:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-10-27 12:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-10-27 04:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-10-26 20:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-10-26 12:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-10-26 04:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-10-25 20:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-10-25 12:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-10-25 04:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-10-24 20:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-10-24 12:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-10-24 04:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-10-23 20:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-10-23 12:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-10-23 04:00:00,ETHUSD ETH-Margin,every 8 hours,0.0004%
2023-10-22 20:00:00,ETHUSD ETH-Margin,every 8 hours,0.0092%
2023-10-22 12:00:00,ETHUSD ETH-Margin,every 8 hours,0.0064%
2023-10-22 04:00:00,ETHUSD ETH-Margin,every 8 hours,0.0055%
2023-10-21 20:00:00,ETHUSD ETH-Margin,every 8 hours,0.0085%
2023-10-21 12:00:00,ETHUSD ETH-Margin,every 8 hours,0.0072%
2023-10-21 04:00:00,ETHUSD ETH-Margin,every 8 hours,0.0051%
2023-10-20 20:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-10-20 12:00:00,ETHUSD ETH-Margin,every 8 hours,0.0082%
2023-10-20 04:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-10-19 20:00:00,ETHUSD ETH-Margin,every 8 hours,0.0053%
2023-10-19 12:00:00,ETHUSD ETH-Margin,every 8 hours,0.0096%
2023-10-19 04:00:00,ETHUSD ETH-Margin,every 8 hours,0.0089%
2023-10-18 20:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-10-18 12:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-10-18 04:00:00,ETHUSD ETH-Margin,every 8 hours,0.0045%
2023-10-17 20:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-10-17 12:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-10-17 04:00:00,ETHUSD ETH-Margin,every 8 hours,0.0032%
2023-10-16 20:00:00,ETHUSD ETH-Margin,every 8 hours,0.0058%
2023-10-16 12:00:00,ETHUSD ETH-Margin,every 8 hours,0.0090%
2023-10-16 04:00:00,ETHUSD ETH-Margin,every 8 hours,-0.0035%
2023-10-15 20:00:00,ETHUSD ETH-Margin,every 8 hours,0.0043%
2023-10-15 12:00:00,ETHUSD ETH-Margin,every 8 hours,0.0073%
2023-10-15 04:00:00,ETHUSD ETH-Margin,every 8 hours,0.0095%
2023-10-14 20:00:00,ETHUSD ETH-Margin,every 8 hours,0.0037%
2023-10-14 12:00:00,ETHUSD ETH-Margin,every 8 hours,0.0090%
2023-10-14 04:00:00,ETHUSD ETH-Margin,every 8 hours,0.0058%
2023-10-13 20:00:00,ETHUSD ETH-Margin,every 8 hours,0.0031%
2023-10-13 12:00:00,ETHUSD ETH-Margin,every 8 hours,0.0046%
2023-10-13 04:00:00,ETHUSD ETH-Margin,every 8 hours,0.0079%
2023-10-12 20:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-10-12 12:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-10-12 04:00:00,ETHUSD ETH-Margin,every 8 hours,0.0065%
2023-10-11 20:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-10-11 12:00:00,ETHUSD ETH-Margin,every 8 hours,0.0074%
2023-10-11 04:00:00,ETHUSD ETH-Margin,every 8 hours,0.0096%
2023-10-10 20:00:00,ETHUSD ETH-Margin,every 8 hours,0.0089%
2023-10-10 12:00:00,ETHUSD ETH-Margin,every 8 hours,0.0024%
2023-10-10 04:00:00,ETHUSD ETH-Margin,every 8 hours,0.0074%
2023-10-09 20:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-10-09 12:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-10-09 04:00:00,ETHUSD ETH-Margin,every 8 hours,0.0083%
2023-10-08 20:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-10-08 12:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-10-08 04:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-10-07 20:00:00,ETHUSD ETH-Margin,every 8 hours,0.0064%
2023-10-07 12:00:00,ETHUSD ETH-Margin,every 8 hours,0.0042%
2023-10-07 04:00:00,ETHUSD ETH-Margin,every 8 hours,-0.0010%
2023-10-06 20:00:00,ETHUSD ETH-Margin,every 8 hours,0.0057%
2023-10-06 12:00:00,ETHUSD ETH-Margin,every 8 hours,0.0086%
2023-10-06 04:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-10-05 20:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-10-05 12:00:00,ETHUSD ETH-Margin,every 8 hours,0.0066%
2023-10-05 04:00:00,ETHUSD ETH-Margin,every 8 hours,0.0071%
2023-10-04 20:00:00,ETHUSD ETH-Margin,every 8 hours,0.0064%
2023-10-04 12:00:00,ETHUSD ETH-Margin,every 8 hours,0.0084%
2023-10-04 04:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-10-03 20:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-10-03 12:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-10-03 04:00:00,ETHUSD ETH-Margin,every 8 hours,0.0050%
2023-10-02 20:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-10-02 12:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-10-02 04:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-10-01 20:00:00,ETHUSD ETH-Margin,every 8 hours,0.0060%
2023-10-01 12:00:00,ETHUSD ETH-Margin,every 8 hours,0.0037%
2023-10-01 04:00:00,ETHUSD ETH-Margin,every 8 hours,0.0048%
2023-09-30 20:00:00,ETHUSD ETH-Margin,every 8 hours,-0.0057%
2023-09-30 12:00:00,ETHUSD ETH-Margin,every 8 hours,0.0049%
2023-09-30 04:00:00,ETHUSD ETH-Margin,every 8 hours,0.0006%
2023-09-29 20:00:00,ETHUSD ETH-Margin,every 8 hours,0.0062%
2023-09-29 12:00:00,ETHUSD ETH-Margin,every 8 hours,0.0027%
2023-09-29 04:00:00,ETHUSD ETH-Margin,every 8 hours,0.0056%
2023-09-28 20:00:00,ETHUSD ETH-Margin,every 8 hours,0.0022%
2023-09-28 12:00:00,ETHUSD ETH-Margin,every 8 hours,0.0071%
2023-09-28 04:00:00,ETHUSD ETH-Margin,every 8 hours,0.0054%
2023-09-27 20:00:00,ETHUSD ETH-Margin,every 8 hours,0.0060%
2023-09-27 12:00:00,ETHUSD ETH-Margin,every 8 hours,0.0092%
2023-09-27 04:00:00,ETHUSD ETH-Margin,every 8 hours,0.0088%
2023-09-26 20:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-09-26 12:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-09-26 04:00:00,ETHUSD ETH-Margin,every 8 hours,0.0081%
2023-09-25 20:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-09-25 12:00:00,ETHUSD ETH-Margin,every 8 hours,0.0058%
2023-09-25 04:00:00,ETHUSD ETH-Margin,every 8 hours,0.0038%
2023-09-24 20:00:00,ETHUSD ETH-Margin,every 8 hours,0.0067%
2023-09-24 12:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-09-24 04:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-09-23 20:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-09-23 12:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-09-23 04:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-09-22 20:00:00,ETHUSD ETH-Margin,every 8 hours,0.0038%
2023-09-22 12:00:00,ETHUSD ETH-Margin,every 8 hours,0.0030%
2023-09-22 04:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-09-21 20:00:00,ETHUSD ETH-Margin,every 8 hours,0.0035%
2023-09-21 12:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-09-21 04:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-09-20 20:00:00,ETHUSD ETH-Margin,every 8 hours,0.0065%
2023-09-20 12:00:00,ETHUSD ETH-Margin,every 8 hours,0.0071%
2023-09-20 04:00:00,ETHUSD ETH-Margin,every 8 hours,0.0062%
2023-09-19 20:00:00,ETHUSD ETH-Margin,every 8 hours,0.0098%
2023-09-19 12:00:00,ETHUSD ETH-Margin,every 8 hours,-0.0011%
2023-09-19 04:00:00,ETHUSD ETH-Margin,every 8 hours,-0.0112%
2023-09-18 20:00:00,ETHUSD ETH-Margin,every 8 hours,-0.0008%
2023-09-18 12:00:00,ETHUSD ETH-Margin,every 8 hours,0.0041%
2023-09-18 04:00:00,ETHUSD ETH-Margin,every 8 hours,0.0046%
2023-09-17 20:00:00,ETHUSD ETH-Margin,every 8 hours,0.0090%
2023-09-17 12:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-09-17 04:00:00,ETHUSD ETH-Margin,every 8 hours,-0.0101%
2023-09-16 20:00:00,ETHUSD ETH-Margin,every 8 hours,0.0088%
2023-09-16 12:00:00,ETHUSD ETH-Margin,every 8 hours,0.0012%
2023-09-16 04:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-09-15 20:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-09-15 12:00:00,ETHUSD ETH-Margin,every 8 hours,-0.0005%
2023-09-15 04:00:00,ETHUSD ETH-Margin,every 8 hours,0.0003%
2023-09-14 20:00:00,ETHUSD ETH-Margin,every 8 hours,0.0038%
2023-09-14 12:00:00,ETHUSD ETH-Margin,every 8 hours,0.0029%
2023-09-14 04:00:00,ETHUSD ETH-Margin,every 8 hours,0.0053%
2023-09-13 20:00:00,ETHUSD ETH-Margin,every 8 hours,0.0042%
2023-09-13 12:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-09-13 04:00:00,ETHUSD ETH-Margin,every 8 hours,0.0067%
2023-09-12 20:00:00,ETHUSD ETH-Margin,every 8 hours,0.0069%
2023-09-12 12:00:00,ETHUSD ETH-Margin,every 8 hours,0.0028%
2023-09-12 04:00:00,ETHUSD ETH-Margin,every 8 hours,0.0015%
2023-09-11 20:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-09-11 12:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-09-11 04:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-09-10 20:00:00,ETHUSD ETH-Margin,every 8 hours,0.0087%
2023-09-10 12:00:00,ETHUSD ETH-Margin,every 8 hours,0.0061%
2023-09-10 04:00:00,ETHUSD ETH-Margin,every 8 hours,0.0027%
2023-09-09 20:00:00,ETHUSD ETH-Margin,every 8 hours,0.0067%
2023-09-09 12:00:00,ETHUSD ETH-Margin,every 8 hours,0.0091%
2023-09-09 04:00:00,ETHUSD ETH-Margin,every 8 hours,0.0025%
2023-09-08 20:00:00,ETHUSD ETH-Margin,every 8 hours,0.0088%
2023-09-08 12:00:00,ETHUSD ETH-Margin,every 8 hours,0.0090%
2023-09-08 04:00:00,ETHUSD ETH-Margin,every 8 hours,0.0067%
2023-09-07 20:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-09-07 12:00:00,ETHUSD ETH-Margin,every 8 hours,0.0088%
2023-09-07 04:00:00,ETHUSD ETH-Margin,every 8 hours,0.0026%
2023-09-06 20:00:00,ETHUSD ETH-Margin,every 8 hours,0.0055%
2023-09-06 12:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-09-06 04:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-09-05 20:00:00,ETHUSD ETH-Margin,every 8 hours,0.0021%
2023-09-05 12:00:00,ETHUSD ETH-Margin,every 8 hours,0.0064%
2023-09-05 04:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-09-04 20:00:00,ETHUSD ETH-Margin,every 8 hours,0.0033%
2023-09-04 12:00:00,ETHUSD ETH-Margin,every 8 hours,-0.0028%
2023-09-04 04:00:00,ETHUSD ETH-Margin,every 8 hours,-0.0049%
2023-09-03 20:00:00,ETHUSD ETH-Margin,every 8 hours,0.0043%
2023-09-03 12:00:00,ETHUSD ETH-Margin,every 8 hours,-0.0003%
2023-09-03 04:00:00,ETHUSD ETH-Margin,every 8 hours,0.0013%
2023-09-02 20:00:00,ETHUSD ETH-Margin,every 8 hours,-0.0027%
2023-09-02 12:00:00,ETHUSD ETH-Margin,every 8 hours,-0.0009%
2023-09-02 04:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-09-01 20:00:00,ETHUSD ETH-Margin,every 8 hours,0.0079%
2023-09-01 12:00:00,ETHUSD ETH-Margin,every 8 hours,0.0075%
2023-09-01 04:00:00,ETHUSD ETH-Margin,every 8 hours,0.0023%
2023-08-31 20:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-08-31 12:00:00,ETHUSD ETH-Margin,every 8 hours,0.0086%
2023-08-31 04:00:00,ETHUSD ETH-Margin,every 8 hours,0.0095%
2023-08-30 20:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-08-30 12:00:00,ETHUSD ETH-Margin,every 8 hours,0.0096%
2023-08-30 04:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-08-29 20:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-08-29 12:00:00,ETHUSD ETH-Margin,every 8 hours,0.0069%
2023-08-29 04:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-08-28 20:00:00,ETHUSD ETH-Margin,every 8 hours,0.0096%
2023-08-28 12:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-08-28 04:00:00,ETHUSD ETH-Margin,every 8 hours,-0.0017%
2023-08-27 20:00:00,ETHUSD ETH-Margin,every 8 hours,0.0067%
2023-08-27 12:00:00,ETHUSD ETH-Margin,every 8 hours,0.0010%
2023-08-27 04:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-08-26 20:00:00,ETHUSD ETH-Margin,every 8 hours,0.0038%
2023-08-26 12:00:00,ETHUSD ETH-Margin,every 8 hours,-0.0023%
2023-08-26 04:00:00,ETHUSD ETH-Margin,every 8 hours,0.0019%
2023-08-25 20:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-08-25 12:00:00,ETHUSD ETH-Margin,every 8 hours,0.0067%
2023-08-25 04:00:00,ETHUSD ETH-Margin,every 8 hours,0.0022%
2023-08-24 20:00:00,ETHUSD ETH-Margin,every 8 hours,0.0044%
2023-08-24 12:00:00,ETHUSD ETH-Margin,every 8 hours,0.0036%
2023-08-24 04:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-08-23 20:00:00,ETHUSD ETH-Margin,every 8 hours,0.0064%
2023-08-23 12:00:00,ETHUSD ETH-Margin,every 8 hours,0.0025%
2023-08-23 04:00:00,ETHUSD ETH-Margin,every 8 hours,-0.0022%
2023-08-22 20:00:00,ETHUSD ETH-Margin,every 8 hours,0.0052%
2023-08-22 12:00:00,ETHUSD ETH-Margin,every 8 hours,0.0032%
2023-08-22 04:00:00,ETHUSD ETH-Margin,every 8 hours,-0.0066%
2023-08-21 20:00:00,ETHUSD ETH-Margin,every 8 hours,0.0077%
2023-08-21 12:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-08-21 04:00:00,ETHUSD ETH-Margin,every 8 hours,-0.0017%
2023-08-20 20:00:00,ETHUSD ETH-Margin,every 8 hours,0.0066%
2023-08-20 12:00:00,ETHUSD ETH-Margin,every 8 hours,0.0018%
2023-08-20 04:00:00,ETHUSD ETH-Margin,every 8 hours,-0.0018%
2023-08-19 20:00:00,ETHUSD ETH-Margin,every 8 hours,-0.0118%
2023-08-19 12:00:00,ETHUSD ETH-Margin,every 8 hours,-0.0069%
2023-08-19 04:00:00,ETHUSD ETH-Margin,every 8 hours,-0.0086%
2023-08-18 20:00:00,ETHUSD ETH-Margin,every 8 hours,0.0072%
2023-08-18 12:00:00,ETHUSD ETH-Margin,every 8 hours,0.0057%
2023-08-18 04:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-08-17 20:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-08-17 12:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-08-17 04:00:00,ETHUSD ETH-Margin,every 8 hours,-0.0031%
2023-08-16 20:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-08-16 12:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-08-16 04:00:00,ETHUSD ETH-Margin,every 8 hours,-0.0046%
2023-08-15 20:00:00,ETHUSD ETH-Margin,every 8 hours,-0.0037%
2023-08-15 12:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-08-15 04:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-08-14 20:00:00,ETHUSD ETH-Margin,every 8 hours,0.0063%
2023-08-14 12:00:00,ETHUSD ETH-Margin,every 8 hours,0.0005%
2023-08-14 04:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-08-13 20:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-08-13 12:00:00,ETHUSD ETH-Margin,every 8 hours,-0.0084%
2023-08-13 04:00:00,ETHUSD ETH-Margin,every 8 hours,-0.0109%
2023-08-12 20:00:00,ETHUSD ETH-Margin,every 8 hours,0.0070%
2023-08-12 12:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-08-12 04:00:00,ETHUSD ETH-Margin,every 8 hours,-0.0024%
2023-08-11 20:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-08-11 12:00:00,ETHUSD ETH-Margin,every 8 hours,0.0049%
2023-08-11 04:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-08-10 20:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-08-10 12:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-08-10 04:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-08-09 20:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-08-09 12:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-08-09 04:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-08-08 20:00:00,ETHUSD ETH-Margin,every 8 hours,0.0099%
2023-08-08 12:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-08-08 04:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-08-07 20:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-08-07 12:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-08-07 04:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-08-06 20:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-08-06 12:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-08-06 04:00:00,ETHUSD ETH-Margin,every 8 hours,0.0055%
2023-08-05 20:00:00,ETHUSD ETH-Margin,every 8 hours,0.0096%
2023-08-05 12:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-08-05 04:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-08-04 20:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-08-04 12:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-08-04 04:00:00,ETHUSD ETH-Margin,every 8 hours,0.0089%
2023-08-03 20:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-08-03 12:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-08-03 04:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-08-02 20:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-08-02 12:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-08-02 04:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-08-01 20:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-08-01 12:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-08-01 04:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-07-31 20:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-07-31 12:00:00,ETHUSD ETH-Margin,every 8 hours,0.0032%
2023-07-31 04:00:00,ETHUSD ETH-Margin,every 8 hours,0.0046%
2023-07-30 20:00:00,ETHUSD ETH-Margin,every 8 hours,0.0089%
2023-07-30 12:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-07-30 04:00:00,ETHUSD ETH-Margin,every 8 hours,-0.0038%
2023-07-29 20:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-07-29 12:00:00,ETHUSD ETH-Margin,every 8 hours,0.0073%
2023-07-29 04:00:00,ETHUSD ETH-Margin,every 8 hours,0.0071%
2023-07-28 20:00:00,ETHUSD ETH-Margin,every 8 hours,0.0083%
2023-07-28 12:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-07-28 04:00:00,ETHUSD ETH-Margin,every 8 hours,0.0041%
2023-07-27 20:00:00,ETHUSD ETH-Margin,every 8 hours,0.0081%
2023-07-27 12:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-07-27 04:00:00,ETHUSD ETH-Margin,every 8 hours,0.0059%
2023-07-26 20:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-07-26 12:00:00,ETHUSD ETH-Margin,every 8 hours,0.0058%
2023-07-26 04:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-07-25 20:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-07-25 12:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-07-25 04:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-07-24 20:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-07-24 12:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-07-24 04:00:00,ETHUSD ETH-Margin,every 8 hours,-0.0140%
2023-07-23 20:00:00,ETHUSD ETH-Margin,every 8 hours,-0.0100%
2023-07-23 12:00:00,ETHUSD ETH-Margin,every 8 hours,-0.0016%
2023-07-23 04:00:00,ETHUSD ETH-Margin,every 8 hours,0.0077%
2023-07-22 20:00:00,ETHUSD ETH-Margin,every 8 hours,-0.0099%
2023-07-22 12:00:00,ETHUSD ETH-Margin,every 8 hours,-0.0450%
2023-07-22 04:00:00,ETHUSD ETH-Margin,every 8 hours,-0.0410%
2023-07-21 20:00:00,ETHUSD ETH-Margin,every 8 hours,-0.0250%
2023-07-21 12:00:00,ETHUSD ETH-Margin,every 8 hours,0.0036%
2023-07-21 04:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-07-20 20:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-07-20 12:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-07-20 04:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-07-19 20:00:00,ETHUSD ETH-Margin,every 8 hours,0.0095%
2023-07-19 12:00:00,ETHUSD ETH-Margin,every 8 hours,-0.0111%
2023-07-19 04:00:00,ETHUSD ETH-Margin,every 8 hours,-0.0030%
2023-07-18 20:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-07-18 12:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-07-18 04:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-07-17 20:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-07-17 12:00:00,ETHUSD ETH-Margin,every 8 hours,0.0097%
