Time,Symbol,Funding Interval,Funding Rate
2024-02-07 11:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2024-02-07 03:00:00,ETHUSD ETH-Margin,every 8 hours,0.0099%
2024-02-06 19:00:00,ETHUSD ETH-Margin,every 8 hours,-0.0090%
2024-02-06 11:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2024-02-06 03:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2024-02-05 19:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2024-02-05 11:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2024-02-05 03:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2024-02-04 19:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2024-02-04 11:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2024-02-04 03:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2024-02-03 19:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2024-02-03 11:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2024-02-03 03:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2024-02-02 19:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2024-02-02 11:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2024-02-02 03:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2024-02-01 19:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2024-02-01 11:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2024-02-01 03:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2024-01-31 19:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2024-01-31 11:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2024-01-31 03:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2024-01-30 19:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2024-01-30 11:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2024-01-30 03:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2024-01-29 19:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2024-01-29 11:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2024-01-29 03:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2024-01-28 19:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2024-01-28 11:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2024-01-28 03:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2024-01-27 19:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2024-01-27 11:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2024-01-27 03:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2024-01-26 19:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2024-01-26 11:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2024-01-26 03:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2024-01-25 19:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2024-01-25 11:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2024-01-25 03:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2024-01-24 19:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2024-01-24 11:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2024-01-24 03:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2024-01-23 19:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2024-01-23 11:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2024-01-23 03:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2024-01-22 19:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2024-01-22 11:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2024-01-22 03:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2024-01-21 19:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2024-01-21 11:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2024-01-21 03:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2024-01-20 19:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2024-01-20 11:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2024-01-20 03:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2024-01-19 19:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2024-01-19 11:00:00,ETHUSD ETH-Margin,every 8 hours,0.1557%
2024-01-19 03:00:00,ETHUSD ETH-Margin,every 8 hours,0.0287%
2024-01-18 19:00:00,ETHUSD ETH-Margin,every 8 hours,0.0271%
2024-01-18 11:00:00,ETHUSD ETH-Margin,every 8 hours,0.0493%
2024-01-18 03:00:00,ETHUSD ETH-Margin,every 8 hours,0.0572%
2024-01-17 19:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2024-01-17 11:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2024-01-17 03:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2024-01-16 19:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2024-01-16 11:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2024-01-16 03:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2024-01-15 19:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2024-01-15 11:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2024-01-15 03:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2024-01-14 19:00:00,ETHUSD ETH-Margin,every 8 hours,0.1588%
2024-01-14 11:00:00,ETHUSD ETH-Margin,every 8 hours,0.0760%
2024-01-14 03:00:00,ETHUSD ETH-Margin,every 8 hours,-0.0466%
2024-01-13 19:00:00,ETHUSD ETH-Margin,every 8 hours,-0.1120%
2024-01-13 11:00:00,ETHUSD ETH-Margin,every 8 hours,-0.2022%
2024-01-13 03:00:00,ETHUSD ETH-Margin,every 8 hours,0.0678%
2024-01-12 19:00:00,ETHUSD ETH-Margin,every 8 hours,0.0753%
2024-01-12 11:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
